target	hg19	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Megakaryocytes	chr1:773087-773580	U	0	0	0	0.3	0.131	0.062	0.03	0	0	0.154	0	0	0	0.019	0	0	0	0	0.029	0	0	0.115	0	0	0.04	0	0	0	0	0	0	0	0	0	NA	0	0.1	0	0.028	0
Skeletal-Musc	chr1:910433-910476	U	0.105	0.013	0.016	0	0.01	0.016	0	0	0.018	0	0.018	0.038	0	0.034	0	0.203	0	0	0	0.009	0.054	0	0.008	0.09	0	0.051	0.019	0.041	0	0.011	0.021	0	0	0	0	0	0.513	0.024	0.029	0
Epid-Kerat	chr1:939040-939130	U	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0.844	0.135	0	0	0	0.065	0	0	0	0.005	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.007	0	0
Colon-Ep	chr1:1045637-1045789	U	0	0.087	0	0.015	0	0.016	0.003	0	0	0	0.969	0	0	0.007	0	0.179	0	0	0.21	0	0	0.018	0.118	0	0	0	0.012	0	0.058	0.025	0.055	0.068	0.038	0	0	0.014	0	0.15	0.045	0.014
Colon-Ep	chr1:1095822-1096180	U	0	0	0	0	0.013	0	0	0	0	0	0.768	0	0	0	0	0.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0.029	0
Eryth-prog	chr1:1197516-1197867	U	0	0	0	0	0	0	0	0	0.022	0	0.002	0	0	0.001	0.014	0.962	0	0	0	0.001	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.003	0	0
Liver-Hep	chr1:1336480-1336761	U	0.051	0	0	0	0.012	0	0	0.069	0.068	0.014	0	0.016	0	0.016	0	0.031	0	0	0.019	0.013	0.022	0.013	0.011	0.915	0	0	0.037	0	0.013	0.04	0	0.016	0	0	0	0.009	0.091	0.01	0.056	0
Lung-Ep-Alveo	chr1:1435888-1436130	U	0	0.027	0	0.016	0.007	0	0	0	0.014	0	0.086	0.034	0	0.002	0	0.089	0	0	0.004	0.012	0	0.014	0	0	0.91	0.023	0	0	0.22	0	0	0	0	0	0	0	0	0.136	0.019	0.154
Thyroid-Ep	chr1:1491550-1491951	U	0.004	0.023	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.013	0.006	0	0	0.001	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.887
Thyroid-Ep	chr1:1492055-1492375	U	0	0.018	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.971
