hg19	hg38	Liver	Lungs	Colon	SmallIntestines	Pancreas	AdrenalGlands	Esophagus	AdiposeTissues	Heart	Brain	T-cells	B-cells	Neutrophils	Placenta	Minimum	Maximum	Mean	S.D.	C.V.	Placenta-informative
chr1:855266-855766	chr1:919886-920386	48.5	47.2	14.4	59.4	27.3	55.2	40.0	56.9	54.9	54.3	85.0	84.8	60.7	29.8	14.4	85.0	53.0	19.4	0.4	N
chr1:969796-970296	chr1:1034416-1034916	84.2	65.9	85.7	70.3	82.2	33.1	74.5	51.2	55.5	48.4	49.9	45.8	35.2	33.2	33.1	85.7	60.1	18.2	0.3	N
chr1:1099044-1099544	chr1:1163664-1164164	75.2	72.2	17.2	65.9	13.4	86.4	57.4	90.0	90.5	81.5	93.4	87.9	92.8	63.6	13.4	93.4	71.1	27.1	0.4	N
chr1:1109315-1109815	chr1:1173935-1174435	19.1	30.8	78.6	46.9	81.4	17.2	46.1	34.6	15.2	29.0	49.7	25.0	17.9	24.0	15.2	81.4	37.8	22.1	0.6	N
chr1:1148671-1149171	chr1:1213291-1213791	57.2	42.9	36.7	55.5	67.6	59.5	43.5	27.5	64.6	58.9	1.1	7.1	7.7	30.9	1.1	67.6	40.8	23.2	0.6	N
chr1:1179416-1179916	chr1:1244036-1244536	84.9	59.8	12.4	43.3	72.2	64.0	69.0	60.0	51.7	68.7	87.4	83.2	93.6	19.9	12.4	93.6	65.4	21.6	0.3	N
chr1:1244901-1245401	chr1:1309521-1310021	73.0	57.0	22.4	42.3	27.5	49.6	33.7	60.8	58.2	38.9	66.8	76.1	83.8	30.8	22.4	83.8	53.1	19.3	0.4	N
chr1:1289708-1290208	chr1:1354328-1354828	20.6	39.4	54.2	43.2	12.2	38.8	35.7	37.5	35.7	37.4	14.6	15.8	9.6	27.1	9.6	54.2	30.4	14.0	0.5	N
chr1:1309641-1310141	chr1:1374261-1374761	13.8	12.1	6.5	12.5	5.3	11.5	9.7	16.6	11.3	10.3	27.2	16.2	20.4	4.8	5.3	27.2	13.3	5.8	0.4	N
chr1:1407845-1408345	chr1:1472465-1472965	37.5	30.3	11.0	22.8	11.6	44.8	19.2	41.5	35.1	29.0	46.7	18.8	28.2	8.9	11.0	46.7	29.0	11.9	0.4	N
chr1:1474605-1475105	chr1:1539225-1539725	63.2	41.3	33.8	27.7	63.3	30.4	29.3	38.0	32.4	17.8	59.9	23.2	33.0	70.5	17.8	63.3	38.0	15.0	0.4	N
chr1:1510983-1511483	chr1:1575603-1576103	54.0	45.2	12.8	34.8	21.0	28.9	33.6	50.2	39.4	32.9	41.4	50.9	55.3	2.1	12.8	55.3	38.5	12.9	0.3	N
chr1:1534332-1534832	chr1:1598952-1599452	45.8	37.5	29.8	36.8	68.8	46.8	36.9	56.6	34.9	35.6	61.9	64.7	75.3	19.4	29.8	75.3	48.6	15.1	0.3	N
chr1:1608899-1609399	chr1:1677460-1677960	82.1	77.0	86.7	63.4	91.5	81.4	76.6	69.9	64.4	84.6	7.3	7.8	44.1	78.1	7.3	91.5	64.4	28.1	0.4	N
chr1:1713395-1713895	chr1:1781956-1782456	21.8	28.8	8.8	24.4	7.3	19.0	28.0	19.3	23.6	16.3	70.1	62.3	28.3	9.4	7.3	70.1	27.5	18.5	0.7	N
chr1:1851099-1851599	chr1:1919660-1920160	45.4	25.3	15.2	20.8	22.4	27.1	23.3	25.7	21.1	39.5	26.3	26.5	19.0	19.2	15.2	45.4	26.0	8.2	0.3	N
chr1:1949912-1950412	chr1:2018473-2018973	35.0	18.1	6.7	24.6	27.2	29.9	19.3	15.2	17.2	52.8	15.9	25.0	11.2	19.8	6.7	52.8	22.9	11.9	0.5	N
chr1:2047430-2047930	chr1:2115991-2116491	72.8	61.3	80.3	56.6	80.2	63.3	56.8	53.6	41.2	7.9	82.3	85.0	81.4	62.0	7.9	85.0	63.3	21.5	0.3	N
chr1:2063783-2064283	chr1:2132344-2132844	73.9	37.4	65.0	44.0	44.0	21.5	39.6	33.4	26.6	26.3	57.9	39.8	29.6	47.2	21.5	73.9	41.5	15.7	0.4	N
chr1:2082315-2082815	chr1:2150876-2151376	92.5	74.8	87.2	89.5	85.2	81.1	87.2	46.4	86.5	89.2	84.9	84.6	4.2	78.7	4.2	92.5	76.4	24.6	0.3	N
chr1:2125049-2125549	chr1:2193610-2194110	74.1	73.5	26.5	53.6	41.3	58.5	48.8	78.4	84.2	73.3	90.6	92.8	91.3	66.9	26.5	92.8	68.2	20.9	0.3	N
chr1:2135809-2136309	chr1:2204370-2204870	4.2	2.5	5.8	4.8	7.5	4.1	16.5	5.4	2.7	3.4	24.2	8.0	2.5	4.5	2.5	24.2	7.0	6.4	0.9	N
chr1:2162213-2162713	chr1:2230774-2231274	8.5	12.6	10.9	11.0	50.8	24.2	7.3	25.6	8.8	3.9	2.9	42.2	52.4	45.5	2.9	52.4	20.1	17.6	0.9	N
chr1:2222199-2222699	chr1:2290760-2291260	42.5	10.0	62.4	30.8	76.8	47.0	20.1	1.8	30.9	2.1	0.9	0.0	0.5	70.1	0.0	76.8	25.1	25.9	1.0	N
chr1:2253724-2254224	chr1:2322285-2322785	57.9	29.6	12.2	23.7	27.3	49.4	12.4	27.4	23.3	11.8	64.3	64.4	45.4	10.2	11.8	64.4	34.5	19.5	0.6	N
chr1:2460242-2460742	chr1:2528803-2529303	7.7	29.8	6.9	20.5	48.2	50.4	14.0	30.8	31.6	9.9	28.5	12.7	14.1	16.6	6.9	50.4	23.5	14.5	0.6	N
chr1:2705526-2706026	chr1:2788961-2789461	37.8	15.1	42.7	21.0	20.6	23.3	21.8	16.3	23.0	15.8	13.1	14.3	1.6	21.5	1.6	42.7	20.5	10.5	0.5	N
